INDEX	LAE	BF	D100	ADG
A1000	36.81	11.2	148.1	0.68
A1007	32.26	10.23	160.6	0.62
A1012	39.59	18.85	146.7	0.68
A105	34.42	17.95	168.1	0.59
A109	39.25	11.08	154.9	0.65
A114	34.51	13.09	164.8	0.61
A115	40.22	18.43	156.3	0.64
A118	37.59	13.96	156.2	0.64
A120	37.16	16.9	153.8	0.65
A125	33.09	11.53	155.4	0.64
A128	37.86	17.08	167.7	0.6
A129	27.36	24.68	156.8	0.64
A133	41.79	14.83	154.8	0.65
A145	36.56	15.9	172.9	0.58
A146	38.17	14.99	152.1	0.66
A147	36.76	15.46	166	0.6
A149	35.5	16.93	167.5	0.6
A150	38.17	18.16	161.3	0.62
A156	32.65	20.53	149.7	0.67
A158	42.27	12.59	164.6	0.61
A161	35.07	15.69	159.3	0.63
A162	37.72	15.44	154.7	0.65
A165	34.23	18.56	167.8	0.6
A167	34.85	19.77	160.6	0.62
A171	39.95	14.03	158.3	0.63
A174	38.67	19.03	170.4	0.59
A175	40.7	16.91	181.8	0.55
A177	36.1	15.19	165.2	0.61
A184	39.22	21.06	171.8	0.58
A185	36.28	15.94	177.6	0.56
A186	36.51	13.94	171.6	0.58
A189	39.63	23.1	167.2	0.6
A198	36.53	12.72	158.6	0.63
A199	33.71	21.54	157.8	0.63
A2	43.12	17.51	161.9	0.62
A201	44.98	14.35	164.3	0.61
A204	33.56	21	181.7	0.55
A205	34.64	12.7	168.9	0.59
A206	30.45	14.67	179.6	0.56
A21	34.88	17.78	154.6	0.65
A210	36.82	19.82	169.6	0.59
A212	29.27	16.12	170.3	0.59
A22	39.31	18.32	166.6	0.6
A221	38.49	9.74	153.2	0.65
A238	34.58	10.8	164	0.61
A25	31.19	17.07	169.6	0.59
A251	37.51	14.56	147.3	0.68
A265	30.08	14.19	187.1	0.53
A267	45.36	11.54	161	0.62
A269	49.48	17.13	187.2	0.53
A270	34.64	14.01	165.4	0.6
A272	34.45	18.93	154.8	0.65
A274	32.7	15.83	177.8	0.56
A28	39.01	15.14	184.2	0.54
A29	35.1	20.86	157.7	0.63
A291	39.53	14.75	154.9	0.65
A296	41.11	15.52	154.9	0.65
A3	43.56	18.42	175	0.57
A300	39.38	18.71	167.9	0.6
A301	40.53	22.8	165.3	0.6
A302	40.8	16.62	154.8	0.65
A304	35.97	19.6	172	0.58
A308	33.72	14.78	163.4	0.61
A311	39.19	15.95	170.8	0.59
A312	38.85	25.86	165.7	0.6
A313	39.33	17.74	159.1	0.63
A314	42.07	16.81	160.6	0.62
A317	48.75	15.68	177.2	0.56
A319	41.69	18.11	159	0.63
A321	37.02	20.06	170.1	0.59
A324	33.63	13.74	174.5	0.57
A337	36.12	13.28	172.4	0.58
A338	37.76	9.42	170.4	0.59
A339	38.9	14.56	167.6	0.6
A34	35.05	20.74	165.3	0.6
A349	39.48	14.85	155.6	0.64
A35	42.14	11.93	177.5	0.56
A351	30.78	15.2	167	0.6
A352	39	17.7	170.7	0.59
A354	38.19	13.1	162.6	0.62
A358	42.41	17.14	168.8	0.59
A359	41.73	15.13	168.1	0.59
A36	43.84	13.71	165.4	0.6
A360	40.62	17.36	158.8	0.63
A362	39.79	12.6	175.1	0.57
A364	40.29	14.41	188	0.53
A37	33.93	12.72	179.5	0.56
A38	34.93	16.77	162.5	0.62
A383	37.91	16.93	177.2	0.56
A384	44.65	18.45	170	0.59
A388	34.74	17.05	160.2	0.62
A390	38.67	18.53	163.2	0.61
A392	36.94	13.78	159.4	0.63
A398	34.64	15.27	152.3	0.66
A399	33.29	17.99	157.2	0.64
A403	36.08	28.67	150.8	0.66
A405	38.18	16.66	171.9	0.58
A406	38.84	16.12	148.4	0.67
A407	38.74	14.27	173.6	0.58
A409	36.23	15.68	152.2	0.66
A41	35.77	21.52	166.7	0.6
A410	39.77	18.93	151.1	0.66
A411	37.54	16.23	156.2	0.64
A412	41.26	22.08	140.2	0.71
A414	45.17	17.76	145.1	0.69
A416	43.03	16.21	171.2	0.58
A419	40.11	20.04	164.8	0.61
A42	38.23	19.81	161.7	0.62
A421	39.3	13.09	155.1	0.64
A422	43.64	10.76	150	0.67
A44	36.4	14.49	166.3	0.6
A45	40.12	16.19	141.3	0.71
